numAGVs	PlanCost
10	2715500
10	2275400
10	2589100
10	2270000
10	2060400
10	2784700
10	2420000
10	1874600
10	2322700
10	2623900
20	5471100
20	5544000
20	5643900
20	4757600
20	4974000
20	4971600
20	4686800
20	4215300
20	5100600
20	4573300
30	8502900
30	8366800
30	6669000
30	7928600
30	6426100
30	6938200
30	7274600
30	6599900
30	6737700
30	6750200
40	8445000
40	8714700
40	9350800
40	11193000
40	7828800
40	8999200
40	10201600
40	11711500
40	8716900
40	9571900
50	13736300
50	13907100
50	13088700
50	14358100
50	12236200
50	14242800
50	13346400
50	12304200
50	12135700
50	13159000
60	14395200
60	16097200
60	14985300
60	16884000
60	16680200
60	17876600
60	14978300
60	15412300
60	14963300
60	14059100
70	17457000
70	20143100
70	20931300
70	14884900
70	18242200
70	16995600
70	19674900
70	18481300
70	16730800
70	20536700
80	20343300
80	21529100
80	24114700
80	21914200
80	20923400
80	23397100
80	19663200
80	22064400
80	21514300
80	18541900
90	25927100
90	25141400
90	24142700
90	27429000
90	21696100
90	25779800
90	27757900
90	23141300
90	26957500
90	27844200
100	29293500
100	30282300
100	26959500
100	28074800
100	26329800
100	29208600
100	29794200
100	26726400
100	28868400
100	34156400
