numAGVs	PlanCost
10	2720300
10	2296500
10	2500900
10	2556000
10	2508100
10	2953600
10	2902800
10	2121700
10	1948900
10	1978700
20	5041900
20	5335100
20	5486500
20	5172200
20	5046600
20	4368500
20	4516900
20	4619200
20	4433900
20	4091400
30	8704800
30	9194200
30	6734800
30	7064800
30	5617500
30	7035600
30	7503500
30	6988700
30	6088900
30	6692200
40	8482100
40	7989000
40	9297600
40	11589900
40	8025200
40	8713900
40	9772300
40	10511000
40	8329200
40	8504800
50	13101000
50	14243700
50	14153800
50	13181900
50	11624400
50	13379100
50	11729200
50	11270400
50	12193400
50	13260100
60	13187500
60	14564900
60	15450300
60	14665700
60	14586300
60	17917700
60	14493400
60	13085400
60	15089200
60	14362500
70	15765300
70	19150100
70	19456400
70	15131400
70	19032900
70	16507700
70	18840800
70	18915400
70	16221900
70	19305700
80	18452700
80	21397600
80	23556100
80	19581000
80	20237100
80	22174400
80	20568500
80	21610900
80	20998900
80	19017800
90	26601800
90	25360800
90	20773600
90	25752900
90	23100700
90	21633600
90	25867200
90	25091300
90	25260600
90	25082400
100	26654500
100	29901700
100	27815000
100	27161200
100	26529400
100	25847300
100	28190800
100	27732200
100	30558000
100	31423300
